	channel_key	cdn_dns	origin_segments	num_lambdas
62	rakuten_cnn_cnninternational_1_eu_cf	E2F6EV1CEJOOY7	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com	7.0
63	pluto_scripps_bouncexl_1_us_cf	E1AN7DKV6XJG6Q	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com/bounce_xl	2.0
64	plex_spt_sonykal_1_us_cf	E1TRDZI1WH003	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com	7.0
65	ono_scripps_truereal_1_us_cf	EK1JUZRL7N56K	https://zxyvirz2zb7pkn.data.mediastore.us-east-1.amazonaws.com/truereal	2.0
66	ono_scripps_ion_1_us_cf	E2DVIMFQULJQ7	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com/scripps-ion	2.0
67	ono_scripps_defy_1_us_cf	E1EZR1DQA28TWC	https://vm2pbeympvp34r.data.mediastore.us-east-1.amazonaws.com/defy	2.0
68	ono_scripps_courttv_2_us_cf	ETCG9WH2K0Z4T	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com/courttv	2.0
69	ono_scripps_bouncexl_1_us_cf	E3V7GREADYB9L4	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com/bounce_xl	2.0
70	ono_ion_ion_plus_1_us_cf	E1YPRH0BCP1EI2	https://lqqjsqoskvga4q.data.mediastore.us-east-1.amazonaws.com/ion	2.0
71	ono_bloomberg_bloombergtv_1_us_cf	EWBHRRFYETB4R	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
72	lg_spt_sonykal_1_us_cf	ETAYTPUG0XY76	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com/sonykal	2.0
73	lg_spt_sonykal_1_ca_cf	E1TO63LOPA0WL8	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com/sonykal	2.0
74	lg_scripps_ion_1_us_cf	E3I8AMBNGY9WZB	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com/scripps-ion	
75	lg_scripps_courttv_2_us_cf	E34BDVDGL6FWR3	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com/courttv	2.0
76	lg_rakuten_cnninternational_1_gb_cf	EBAH8JZF0PQRT	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com	7.0
77	lg_rakuten_cnninternational_1_de_cf	E3KM3VCO3JW9L3	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com	7.0
78	lg_ion_ion_plus_1_us_cf	EA8YJXYEN6ENE	https://lqqjsqoskvga4q.data.mediastore.us-east-1.amazonaws.com/ion	2.0
79	lg_fueltv_fueltv_15_us_cf	E1L2RDLVZYSX6K	https://d7kagd3tnwoxb5.data.mediastore.us-east-1.amazonaws.com	7.0
80	lg_bloomberg_bloombergtv_3_pt_cf	E1DRCM31HEXHRO	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
81	lg_bloomberg_bloombergtv_3_no_cf	E1U18PRLE0SLVA	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
82	lg_bloomberg_bloombergtv_3_nl_cf	E3OUXMB04STRBQ	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
83	lg_bloomberg_bloombergtv_3_lu_cf	E1VFJR3KKADGG3	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
84	lg_bloomberg_bloombergtv_3_ie_cf	E3BEGOIUP4D770	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
85	lg_bloomberg_bloombergtv_3_fi_cf	E3PRI9HE38EWJL	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
86	lg_bloomberg_bloombergtv_3_dk_cf	E3CUVH9OSW64N	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
87	lg_bloomberg_bloombergtv_3_ch_cf	E3I7NFWR25RHLJ	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
88	lg_bloomberg_bloombergtv_3_be_cf	E1M58W2O4BOJWF	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
89	lg_bloomberg_bloombergtv_3_at_cf	E31YI7EXF1OJC7	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
90	lg_bloomberg_bloombergtv_2_us_cf	E2HXAAG520RIBI	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
91	lg_bloomberg_bloombergtv_1_se_cf	ES6FKVFIVU7HY	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
92	lg_bloomberg_bloombergtv_1_mx_cf	E1EL13E7769092	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
93	lg_bloomberg_bloombergtv_1_it_cf	E2K4295RCOSEF2	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
94	lg_bloomberg_bloombergtv_1_gb_cf	E3V1P8OMEGYU2H	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
95	lg_bloomberg_bloombergtv_1_fr_cf	E28IIUWE2BIPHK	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
96	lg_bloomberg_bloombergtv_1_es_cf	EAYOHFGULVF06	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
97	lg_bloomberg_bloombergtv_1_de_cf	E16Y98TJRA1BYB	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
98	lg_bloomberg_bloombergtv_1_ca_cf	EOMH8NLHYWSC6	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
99	lg_bloomberg_bloombergtv_1_br_cf	E3I6PAN5XFCJHR	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
100	imdbtv_scripps_truereal_1_us_cf	E20ADVDELA7EBM	https://zxyvirz2zb7pkn.data.mediastore.us-east-1.amazonaws.com/truereal	2.0
101	imdbtv_scripps_defy_1_us_cf	ESIEDSOH4NOMO	https://vm2pbeympvp34r.data.mediastore.us-east-1.amazonaws.com/defy	2.0
102	imdbtv_ion_ion_plus_1_us_cf	ESPWM8QPP86ZQ	https://lqqjsqoskvga4q.data.mediastore.us-east-1.amazonaws.com/ion	2.0
